TRXN_NO|REF_NO|ATM_ID|CARD_NO|ACCOUNT_NUMBER|AMOUNT|TRAN_AMOUNT|TRXN_FINAL_STATUS|RESP|TRXN_TYPE|CARD_TYPE|AVAIL_BALANCE
572685998206|273236868049|S5NL0001|518967408379903|34918379903000000|143400|143400|Success|00|Withdrawal|MC|
572685998207|273236868050|S5NL0006|533531314133426|13795133426000000|229800|229800|Success|00|Withdrawal|MC|
572685998208|273236868051|S5NL0006|542062611685054|46019685054000000|189400|189400|Success|00|Withdrawal|MC|
572685998209|273236868052|S5NL0004|541843718701731|65640701731000000|449200|449200|Success|00|Withdrawal|MC|
572685998210|273236868053|S5NL0003|547239199687660|45736687660000000|155000|155000|Success|00|Withdrawal|MC|
572685998211|273236868054|S5NL0006|513772414616659|89137616659000000|229500|229500|Success|00|Withdrawal|MC|
572685998212|273236868055|S5NL0002|556419784039264|77205039264000000|110500|110500|Success|00|Withdrawal|MC|
572685998213|273236868056|S5NL0003|525768047258766|73919258766000000|344400|344400|Success|00|Withdrawal|MC|
572685998214|273236868057|S5NL0005|510955134439377|73451439377000000|380400|380400|Success|00|Withdrawal|MC|
572685998215|273236868058|S5NL0001|533287331794986|77882794986000000|376200|376200|Success|00|Withdrawal|MC|
