TRXN_NO|REF_NO|ATM_ID|CARD_NO|ACCOUNT_NUMBER|AMOUNT|TRAN_AMOUNT|TRXN_FINAL_STATUS|RESP|TRXN_TYPE|CARD_TYPE|AVAIL_BALANCE
496136974244|549720640859|S5NL0006|533204879754243|54614754243000000|417400|417400|Success|00|Withdrawal|MC|
496136974245|549720640860|S5NL0005|520646458442288|68323442288000000|190000|190000|Success|00|Withdrawal|MC|
496136974246|549720640861|S5NL0004|519350715981989|20628981989000000|360100|360100|Success|00|Withdrawal|MC|
496136974247|549720640862|S5NL0002|551719313711154|77835711154000000|278100|278100|Success|00|Withdrawal|MC|
496136974248|549720640863|S5NL0006|550069343030893|66666030893000000|178200|178200|Success|00|Withdrawal|MC|
832936244583|489129257839|S5NL0004|472105983645306|21023645306000000|105900|105900|Success|00|Withdrawal|Visa|
832936244584|489129257840|S5NL0003|436682429339990|41947339990000000|419000|419000|Success|00|Withdrawal|Visa|
832936244585|489129257841|S5NL0006|436603127590621|10556590621000000|108100|108100|Success|00|Withdrawal|Visa|
832936244586|489129257842|S5NL0003|493681397859778|19944859778000000|292700|292700|Success|00|Withdrawal|Visa|
832936244587|489129257843|S5NL0005|474290632018179|13238018179000000|247600|247600|Success|00|Withdrawal|Visa|
509272314312|536908058743|S5NL0006|641048609032892|63127032892000000|237100|237100|Success|00|Withdrawal|RuPay|
509272314313|536908058744|S5NL0002|631621269852999|96199852999000000|215400|215400|Success|00|Withdrawal|RuPay|
509272314314|536908058745|S5NL0002|644160967736550|81319736550000000|131700|131700|Success|00|Withdrawal|RuPay|
509272314315|536908058746|S5NL0006|689087908326854|80579326854000000|429800|429800|Success|00|Withdrawal|RuPay|
509272314316|536908058747|S5NL0001|608250211929574|36562929574000000|265900|265900|Success|00|Withdrawal|RuPay|
